scan	find	binstr
92590400.000000	6391900.000000	44376400.000000
93106800.000000	6389500.000000	44381200.000000
93226400.000000	6392700.000000	44357000.000000
93229600.000000	6399900.000000	44373000.000000
93156800.000000	6390900.000000	44348900.000000
93152400.000000	6396600.000000	44368400.000000
93145200.000000	6389500.000000	44321500.000000
93228000.000000	6287600.000000	44403100.000000
92862800.000000	6386800.000000	44384500.000000
92947200.000000	6380600.000000	44296100.000000
